Date,Invesco Physical Gold A
2017-12,62877.2247949538
2018-01,62795.73649014217
2018-02,62743.65238622537
2018-03,62475.67245275974
2018-04,63208.44205217671
2018-05,64865.10233772792
2018-06,62349.06934185192
2018-07,60467.31647212803
2018-08,59979.516526597974
2018-09,59599.01634195643
2018-10,62373.86445337413
2018-11,62275.488943523196
2018-12,65026.86335216063
2019-01,66908.93552518584
2019-02,67115.61482656638
2019-03,66962.3429148788
2019-04,66378.92614505062
2019-05,67461.13564538212
2019-06,71885.49398766024
2019-07,74320.4000039211
2019-08,80392.53358938725
2019-09,79172.15480477466
2019-10,78618.00181006403
2019-11,77156.82218866072
2019-12,78664.93496244543
2020-01,83165.60661096161
2020-02,85081.26238800708
2020-03,85188.17789005006
2020-04,90809.1802706055
2020-05,90031.53871645337
2020-06,91564.6677254685
2020-07,96164.68644053765
2020-08,95047.44312675136
2020-09,93432.56418480181
2020-10,93252.81970786858
2020-11,85275.78473704628
2020-12,89317.0093314751
2021-01,88997.90652214749
2021-02,83316.53929508387
2021-03,83562.21832501586
2021-04,84758.05749446983
2021-05,90204.76685970572
2021-06,85933.75242152147
2021-07,88923.82207932627
2021-08,88809.79726713899
2021-09,87153.3233797028
2021-10,87960.88504523129
2021-11,91931.14864311916
2021-12,93024.77973254405
2022-01,93143.59925045256
2022-02,98699.65115701608
2022-03,101245.08150590661
2022-04,104929.98589186523
2022-05,99303.658544487
2022-06,101201.66570728233
2022-07,99459.13356083645
2022-08,99249.22680087037
2022-09,99185.34629630012
2022-10,95604.13746805165
2022-11,97719.21475803496
2022-12,98242.9643707537
2023-01,102672.26978893002
2023-02,99324.99929838207
2023-03,105221.29548631604
2023-04,104345.083916457
2023-05,106263.41991999862
2023-06,101689.6330721456
2023-07,103292.46654959244
2023-08,103248.12948921976
2023-09,101992.74823400528
2023-10,108618.41673651029
2023-11,107544.31437727016
2023-12,107783.97651922451
